Ransomware Incident IOCs,Other context
hxxps://lvshilc[.]com/KeePass-2.56-Setup.exe ,Final redirect - KeeLoader downloader URL
hxxps://keeppaswrd[.]com/download.php ,Typosquat redirect url
hxxps://arch-online[.]com/List/com2/9O29EO3IRSBB ,Cobalt Strike C2 URL
hxxps://aicmas[.]com/List/com2/9O29EO3IRSBB ,Cobalt Strike C2 URL
hxxps://aicmas[.]com/Apply/readme/VJICARU60DC?[REDACTED]=[REDACTED] ,Cobalt Strike C2 URL
KeePass-info[.]aenys[.]com ,Malvertised domain
keeppaswrd[.]com ,Typosquat redirect domain
lvshilc[.]com ,Final redirect - KeeLoader downloader domain
arch-online[.]com ,Cobalt Strike C2 domain
aicmas[.]com ,Cobalt Strike C2 domain
,
Nitrogen IOCs,
1ba8d063-0[.]b-cdn[.]net,Cobalt Strike Nitrogen Cluster C2
roatanforareason[.]com/wp-content/plugins/fix/TreeSizeFreeSetup.zip,Nitrogen Download URL
2dd75a7f9948d794e95539b9a9ccc6a1488fb64dbe099fea401a13f98166d6ae,WinSCP – Nitrogen
5b48bbf2364f78812ea411ef41fb8b693a3965df13596b303e12f69908784d03,TreeSize Free – Nitrogen
fa3eca4d53a1b7c4cfcd14f642ed5f8a8a864f56a8a47acbf5cf11a6c5d2afa2,WinSCP – Nitrogen
,
KeePass download domains,
KeePass-download.grmspace[.]com,Other malvertised KeeLoader domain
KeePass-download[.]insightsforconsultancy[.]com,Other malvertised KeeLoader domain
KeePassx[.]com,Typosquat KeePass domain
keegass[.]com,Typosquat KeePass domain
keebass[.]com,Typosquat KeePass domain
keespass[.]biz,Typosquat KeePass domain
KeePass[.]me,Typosquat KeePass domain
alldataservice[.]com,KeePass exfil domain
howupbusiness[.]com,KeePass exfil domain
,
Suspicious Domains (Other),
salliemae-com-login[.]aenys[.]com,Other suspicious subdomains of Aenys
winscp-net-download[.]aenys[.]com,Other suspicious subdomains of Aenys
woodforest-login[.]aenys[.]com,Other suspicious subdomains of Aenys
phantom-wallet-com[.]aenys[.]com,Other suspicious subdomains of Aenys
dexscreener-com[.]aenys[.]com,Other suspicious subdomains of Aenys
Pump-fun[.]aenys[.]com,Other suspicious subdomains of Aenys
Pump-fun-official[.]aenys[.]com,Other suspicious subdomains of Aenys
burleson-appliance[.]net,Content pivot from malvertised domain (Aenys)
concord-appliance[.]com,Content pivot from malvertised domain (Aenys)
desoto-appliance[.]net,Content pivot from malvertised domain (Aenys)
resvat[.]com,Content pivot from malvertised domain (Aenys)
takuripo[.]com,Content pivot from malvertised domain (Aenys)
zowhy[.]com,Content pivot from malvertised domain (Aenys)
smakotin[.]com,Content pivot from malvertised domain (Aenys)
resvat[.]co,Content pivot from malvertised domain (Aenys)
protek-tech[.]com,Content pivot from malvertised domain (Aenys)
larcausk[.]site,Content pivot from malvertised domain (Aenys)
nestlingspace[.]com,Content pivot from malvertised domain (Aenys)
animatedwebworks[.]com,Content pivot from malvertised domain (Aenys)
"precizeabrilliant[,]com",Content pivot from malvertised domain (Aenys)
cadcamlabs[.]ru,Content pivot from malvertised domain (Aenys)
prythera[.]com,Content pivot from malvertised domain (Aenys)
,
Certificates Observed,
Name: Redstrikevn Company Limited,
Serial number: 00 8A 99 59 F5 36 A0 03 6F 49 A2 14 33 17 56 2D 3F,
Thumbprint: 4D36C5325245186319D22BB933EE4C9289FAC559,
,
Name: ООО НЕВА КЕРАМИКС (Revoked),
Serial number: 4645E8244D0240FED60A8923999340F10F363EA5,
Thumbprint: 4645E8244D0240FED60A8923999340F10F363EA5,
,
Name: ANALYZER ENTERPRISES LLP,
Serial number: 41 23 C6 2D FD 13 EF 9C C0 69 0E 57,
Thumbprint: F3082CA729AA18DC86DD70A87B75ED473B4B0C15,
,
"Name      Shenzhen Kantianxia Network Technology Co., Ltd.",
Thumbprint   2CF75DAE1A87CA7962CAF67E7310420BBBC30588,
Serial Number 52 B0 5A 2A 3A D5 CA E2 94 6C 80 F5 B6 21 E3 82,
,
"Name: MekoGuard Bytemin Information Technology Co., Ltd.",
Serial number: 26 A6 81 9A C8 1B 7A 25 BC E7 D3 54,
Thumbprint: A53E2045C456BC5879E1159245884740FF0BE11D,
,
Name: AVARKOM LLC,
