type,value,Notes
domain,thehugeplus.com,Associated to DUCKTAIL
domain,adshuge.com,Associated to DUCKTAIL
domain,fendii.com,Associated to DUCKTAIL
domain,undrground.company,Associated to DUCKTAIL - Rebrandly
domain,avalisemedia.com,Associated to DUCKTAIL - LNK infection chian
domain,139.99.50.74,Associated to DUCKTAIL - LNK infection chian
domain,194.55.224.128,Associated to DUCKTAIL - LNK infection chian
domain,fortyclothingglobal.com,Associated to DUCKTAIL - LNK infection chian
domain,job-mango.com,Associated to DUCKTAIL
domain,pradagroup.social,Associated to DUCKTAIL - Short.gy
domain,strategixelite.com,Associated to DUCKTAIL
domain,mediastrategix.com,Associated to DUCKTAIL
domain,adplexity.site,Associated to DUCKPORT
domain,nars.social,Associated to DUCKPORT - Rebrandly
domain,brandrecruiter.social,Associated to DUCKPORT - Rebrandly
domain,narscosmetics.social,Associated to DUCKPORT - Rebrandly
domain,brandresource.social,Associated to DUCKPORT - Rebrandly
domain,recruiterofbrand.social,Associated to DUCKPORT - Rebrandly
domain,hyundaimotorjob.social,Associated to DUCKPORT - Rebrandly
domain,hyundaimotorgroup.social,Associated to DUCKPORT - Rebrandly
domain,brandrecruitment.social,Associated to DUCKPORT - Rebrandly
domain,hyundaimotor.social,Associated to DUCKPORT - Rebrandly
domain,hrmmarketing.link,Associated to DUCKPORT - Rebrandly
domain,marketingmanager.social,Associated to DUCKPORT - Rebrandly
domain,hrms.social,Associated to DUCKPORT - Rebrandly
domain,marketingagency.social,Associated to DUCKPORT - Rebrandly
domain,guessinc.work,Associated to DUCKPORT - Rebrandly
domain,mccann.fyi,Associated to DUCKPORT - Rebrandly
domain,li-ning.news,Associated to DUCKPORT - Rebrandly
domain,eucerin.work,Associated to DUCKPORT - Rebrandly
domain,samsungagency.link,Associated to DUCKPORT - Rebrandly
domain,hrm.social,Associated to DUCKPORT - Rebrandly
domain,li-ning.agency,Associated to DUCKPORT - Rebrandly
domain,la-roche-posay.click,Associated to DUCKPORT - Rebrandly
domain,a1outreach.software,Associated to DUCKPORT - Rebrandly
domain,nzxtinc.social,Associated to DUCKPORT - Rebrandly
domain,avalonorganics.work,Associated to DUCKPORT - Rebrandly
domain,recruitmentagency.social,Associated to DUCKPORT - Rebrandly
domain,yodo1game.software,Associated to DUCKPORT - Rebrandly
domain,mccann.expert,Associated to DUCKPORT - Rebrandly
domain,louisvuitton-agency.social,Associated to DUCKPORT - Rebrandly
domain,louisvuitton-social.news,Associated to DUCKPORT - Rebrandly
domain,louisvuitton-agency.link,Associated to DUCKPORT - Rebrandly
domain,louisvuitton-agencyjod.live,Associated to DUCKPORT - Rebrandly
domain,louisvuitton-hr.news,Associated to DUCKPORT - Rebrandly
domain,louisvuitton-jod.chat,Associated to DUCKPORT - Rebrandly
domain,li-ningagency.news,Associated to DUCKPORT - Rebrandly
domain,recuiter.company,Associated to DUCKPORT - Rebrandly
domain,marketing-project.social,Associated to DUCKPORT - Rebrandly
domain,nike-agency.link,Associated to DUCKPORT - Rebrandly
cert_sha1,021E6062C71B16B140C2261933D846BE28CF7567,Certificate used by DUCKTAIL
cert_sha1,17DCE542778A30F9FC9BA8B677A23FBAEEBFA9A1,Certificate used by DUCKTAIL
cert_sha1,22CF22ECABF2D866AF3CEA4F74941BA05CFBC350,Certificate used by DUCKTAIL
cert_sha1,3EF0CB83D09694CC9EB25F29161596FFC654EA01,Certificate used by DUCKTAIL
cert_sha1,83367B0F1F90A72772E5F0A0222A42A803BDF55F,Certificate used by DUCKTAIL
cert_sha1,8F3C05E9647A11F0645A62421EC48BD7A49FC3D1,Certificate used by DUCKTAIL
cert_sha1,9E94FC3ACCBB1C47085D86E90BDC8C24460F15F6,Certificate used by DUCKTAIL
cert_sha1,A94621165F60BBDE87E054E3C15F3DDF104639B0,Certificate used by DUCKTAIL
cert_sha1,B507423422281E621C99B879EFA94CA65C6C32B3,Certificate used by DUCKTAIL
cert_sha1,BE998E604F136892B0B114C2DB21B4C4F15BE419,Certificate used by DUCKTAIL
cert_sha1,C412D92589F7F65D4CA78AFD54FF451D202949BB,Certificate used by DUCKTAIL
cert_sha1,F11888006A1477A97B62B541096D413F4A95EC3D,Certificate used by DUCKTAIL
cert_sha1,F38F4F452A0920BCFE26880B7BE9EAA751471EA5,Certificate used by DUCKTAIL
cert_sha1,F6057ACA095716CB607D338D9F98C1E4F7C20E68,Certificate used by DUCKTAIL
cert_sha1,FC7F64D82A70DB133672D8C5CB4C079EAE6DBDA7,Certificate used by DUCKTAIL
cert_sha1,FD3513440092B48FC4CA7FE1ADCAAB710BF16187,Certificate used by DUCKTAIL
cert_sha1,8B1B6DA64665CABE2B625098198D95C26EAE8917,Certificate used by DUCKPORT
cert_sha1,D64CF4CAADEF719DA4CE1C2D77CDB0BD3E05A23F,Certificate used by DUCKPORT
cert_sha1,F643A5F385739584BBA2C3F44397FD9773D4DFC8,Certificate used by DUCKPORT and DUCKWEED
file_sha256,20655cb7c03ddfeb1f079cf005d76883e750e8cb1d35cfa84d06dde7e03633b8,Malware sample associated to DUCKPORT
file_sha256,a143bbd48591117b094b1e33205eca30d239eeeb73d0a9ed97aecb6c2b9c8dc6,Malware sample associated to DUCKPORT
file_sha256,55cf538ad619336ce76cab852f58694223f2720d78f0130c0e61caf4bcc74208,Malware sample associated to DUCKPORT
file_sha256,8a74a1fb4a8ab184bb5fbe2c863072459de0578e14ae6a1f6574045d67afe36a,Malware sample associated to DUCKPORT
file_sha256,f8cfff08f15644a8013611037da8156df8c554d5bdc73af33d868b1a6ef2a67d,Malware sample associated to DUCKPORT
